match_id;duration;start_time;radiant_team_id;radiant_name;dire_team_id;dire_name;leagueid;league_name;series_id;series_type;radiant_score;dire_score;radiant_win;version
8029079906;2411;1731243784;9492830.0;Prodigy of God;8993427.0;Air Defense;17366;Ultras Dota Pro League  2024-25;924500;1;38;28;True;21
8029070932;1995;1731244320;7119388.0;Team Spirit;9247354.0;Team Falcons;17272;DreamLeague Season 24 powered by Intel;924466;1;7;27;False;21
8028981225;1144;1731240818;9545521.0;Violence team;9593239.0;Team Pickles;16274;SIVVIT League;924486;0;6;41;False;21
8028980971;1205;1731240810;9545476.0;amar_EZsports;9445080.0;Hail to the mentors;16274;SIVVIT League;924485;0;6;53;False;21
8028975239;2316;1731240634;9531104.0;;9564287.0;Team Vkid;16274;SIVVIT League;924481;0;48;15;True;21
8028972726;1431;1731240555;;;9366914.0;Team Secret;16274;SIVVIT League;0;0;11;39;False;21
8028965268;2463;1731240323;9427104.0;;8488841.0;Billy's Boys;16274;SIVVIT League;924477;0;27;37;False;21
8028964883;1224;1731240312;9230167.0;TSU;9410195.0;ZakaZnie;16274;SIVVIT League;924478;0;38;7;True;21
8028960113;1205;1731240158;;;9460640.0;ValenTiny;16274;SIVVIT League;0;0;8;53;False;21
8028916514;2596;1731239701;9247354.0;Team Falcons;7119388.0;Team Spirit;17272;DreamLeague Season 24 powered by Intel;924466;1;30;8;True;21
8028834747;1465;1731235918;8993427.0;Air Defense;9594117.0;Team Flamingos;17366;Ultras Dota Pro League  2024-25;924442;1;24;48;False;21
8028808942;1486;1731234975;9425660.0;Shadow Avengers;8629014.0;Dragon Blood;17233;Destiny League;924429;1;26;14;True;21
8028772147;1987;1731233544;9594117.0;Team Flamingos;8993427.0;Air Defense;17366;Ultras Dota Pro League  2024-25;924442;1;37;28;True;21
8028742358;2520;1731232363;9449139.0;piggg;;;17184;Major League (D2AU);0;0;32;14;True;21
8028739219;1970;1731232261;8629014.0;Dragon Blood;9425660.0;Shadow Avengers;17233;Destiny League;924429;1;33;31;False;21
8028692651;1265;1731230377;9426115.0;Dark Rebellion;8629318.0;Mad Monkeys;17233;Destiny League;924391;1;12;17;False;21
8028660275;1987;1731229248;9546798.0;TEAM TEWOOP;9449139.0;piggg;17184;Major League (D2AU);924412;1;16;26;False;21
8028639880;1584;1731228241;8629318.0;Mad Monkeys;9426115.0;Dark Rebellion;17233;Destiny League;924391;1;46;18;True;21
8028611810;1554;1731226976;8993427.0;Air Defense;9586420.0;KIBA ARMS;17366;Ultras Dota Pro League  2024-25;924385;1;26;33;False;21
8028569478;2320;1731225006;9426115.0;Dark Rebellion;8629318.0;Mad Monkeys;17233;Destiny League;924391;1;55;55;True;21
8028518976;1484;1731222593;2443375.0;Foxy gaming;8629317.0;Bright Crusaders;17233;Destiny League;924379;1;42;11;True;21
8028518711;2996;1731222662;9586420.0;KIBA ARMS;8993427.0;Air Defense;17366;Ultras Dota Pro League  2024-25;924385;1;61;44;True;21
8028479388;1289;1731220608;8629317.0;Bright Crusaders;2443375.0;Foxy gaming;17233;Destiny League;924379;1;12;27;False;21
8028433413;1767;1731218023;8629315.0;Wiser Warriors;8629005.0;Flawless Goblins;17233;Destiny League;924361;1;15;37;False;21
8028392660;2440;1731215611;9554690.0;Hexi's Sexis;9554170.0;Unknown Gaming;17184;Major League (D2AU);924368;3;37;30;True;21
8028378696;2452;1731214703;8629005.0;Flawless Goblins;8629315.0;Wiser Warriors;17233;Destiny League;924361;1;31;37;True;21
8028331333;2180;1731211530;9554690.0;Hexi's Sexis;9554170.0;Unknown Gaming;17184;Major League (D2AU);924362;3;20;40;False;21
8028330744;2017;1731211720;8629315.0;Wiser Warriors;8629005.0;Flawless Goblins;17233;Destiny League;924361;1;34;22;True;21
8027903131;1600;1731185345;9586443.0;Nethercore;8993427.0;Air Defense;17366;Ultras Dota Pro League  2024-25;924283;1;17;44;False;21
8027824663;1514;1731183240;8255888.0;BetBoom Team;7119388.0;Team Spirit;17272;DreamLeague Season 24 powered by Intel;924214;1;19;5;True;21
8027806485;2041;1731181913;9530716.0;Air Defence;9586443.0;Nethercore;17366;Ultras Dota Pro League  2024-25;924267;1;26;55;False;21
8027713260;1625;1731178981;9593609.0;Nethercore;9530716.0;Air Defence;17366;Ultras Dota Pro League  2024-25;924254;1;25;41;False;21
8027712452;1987;1731179340;8255888.0;BetBoom Team;7119388.0;Team Spirit;17272;DreamLeague Season 24 powered by Intel;924214;1;20;9;True;21
